X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
543064.383790 2331408.093140 3.478283 4.368127 13.927982
543191.220700 2331733.396730 3.761626 4.293147 13.771819
543199.748050 2331762.802250 4.427666 4.294738 13.835939
543284.828860 2331982.649900 2.596718 4.067368 14.141484
543025.050780 2331324.250240 4.806967 4.379178 14.200685
543384.494630 2332246.529050 4.156807 4.022895 14.954720
543070.108400 2331448.039610 4.317113 4.399457 14.048959
543216.450200 2331828.099730 2.500060 4.290763 14.025236
543328.020750 2332115.463620 2.776732 3.898962 14.608813
543106.198490 2331550.503540 3.101411 4.400248 14.016134
543028.780270 2331353.313840 3.969446 4.396531 14.278883
543326.231930 2332114.792970 3.344494 4.111787 14.634976
543434.189210 2332398.342160 3.351815 3.716109 15.764589
543166.911620 2331717.692630 4.564748 4.362261 14.070093
542926.479980 2331114.788700 4.894475 4.497338 15.100296
543166.444580 2331731.904790 3.063874 4.358413 14.179905
543284.809810 2332165.604250 3.213013 4.192006 15.791744
543149.145260 2331821.371830 2.642024 4.434034 15.118270
543397.657470 2332465.572270 4.309096 3.989379 17.059510
543201.930420 2331963.359010 3.616951 4.418251 15.344425
543076.624510 2331644.503910 4.272093 4.524497 15.125486
543076.494140 2331646.864620 4.458215 4.528462 15.142675
543039.338130 2331558.732300 4.100579 4.585432 15.202323
543069.902100 2331639.373050 3.605689 4.531175 15.210553
543037.302730 2331561.268920 4.457604 4.538875 15.273426
543114.307130 2331767.479740 3.906832 4.517590 15.318447
543103.784420 2331750.381350 4.342617 4.534757 15.377387
543131.761470 2331828.330200 2.695636 4.510021 15.480210
543256.161870 2332148.734010 4.420242 4.207909 16.095184
